epoch,loss,val_loss
0,10.671703754894194,6.671549623662775
1,6.284862388045557,5.383731868050315
2,5.373973599845363,4.787433784658258
3,4.693597625820868,4.328948298367587
4,4.301859484564874,4.3305702556263315
5,4.065933878383329,3.7815963008187032
6,3.9691277276123724,3.8729740186171098
7,3.7244004833121456,3.665739794210954
8,3.5868819692442493,3.6927731535651467
9,3.4740837795599813,3.1080000097101386
10,3.3651213033064717,3.252238483862443
11,3.3342933303886846,3.3516620744358407
12,3.27835168256875,3.1158357186750933
13,3.1702571355046762,2.98364501432939
14,3.228582019527112,3.0844984531402586
15,3.065995626872586,3.2525420037182893
16,2.9542328912404274,2.928510639884255
17,2.886768591500098,2.618255649913441
18,2.968662814988244,2.9344542156566273
19,2.878866383625615,3.1351924007589167
20,2.8557782302941046,2.9532198862595993
21,2.7375181937409985,2.7926556500521573
22,2.8171909922553646,2.647036322680387
23,2.7439478430296145,2.7249701131473887
24,2.6960154557901044,2.7216279246590354
25,2.6200648781753357,2.597470179471103
26,2.661335943927688,2.5934521891854025
27,2.7280998383798907,2.676622275872664
28,2.585041185420367,2.87164570201527
29,2.5638869606679484,2.665839676423506
30,2.255513426997969,2.271182638948614
31,2.226190066746166,2.1928533640774814
32,2.1431128148350025,2.111405010656877
33,2.116829240153874,2.1610766757618296
34,2.120209003768621,2.171811073476618
35,2.1075607110415735,2.1923971154473043
36,2.1512166089828937,1.9781483856114475
37,2.1077111376629722,1.9531015916304155
38,2.0775176903172845,2.296002973209728
39,2.092792640890806,2.11484887491573
40,2.118448834145261,2.139925693381916
41,2.0183345524053418,2.0358605753291736
42,2.063424070876452,2.137947421724146
43,2.028141141779,2.0734146735884926
44,2.0360093228518963,2.0260822144421664
45,2.1034145673676843,2.0059843811121856
46,1.991835271158526,2.093856912309473
47,1.9478523961959346,1.9601221420548178
48,1.9850754553992902,2.0198432207107544
49,1.9807921991713586,2.2191032257947056
50,1.8727176486844979,1.8776467756791548
51,1.829333358474316,1.7702129808339206
52,1.87123874634985,1.8182336395437066
53,1.7570256273592673,1.828438430482691
54,1.8260305969705504,1.9994197076017206
55,1.8017719631954547,1.7402295090935447
56,1.8408072543961387,1.6597362973473289
57,1.8257257062340937,1.9595138528130271
58,1.827138748260275,1.8063910343430258
59,1.7928647742636743,1.8195790366692977
60,1.761292167728947,1.6555995643138885
61,1.8215439997373088,1.807090378891338
62,1.7911035629409937,1.8929935910485007
63,1.781455868013924,1.7226051352240823
64,1.7967698855265495,1.6635976775126025
65,1.7316693215360563,2.007343125343323
66,1.784973831667054,1.743704944307154
67,1.7725444633153178,1.8566348574378273
68,1.7431620809459878,1.694691340489821
69,1.8061436126309056,1.7011684797026894
70,1.7278886730632474,1.6939821525053544
71,1.7282992506459836,1.8280357198281723
72,1.710370526979527,1.776781031218442
73,1.7042999131785286,1.72534122467041
74,1.7404542708949697,1.7305844556201588
75,1.68425458585543,1.759975315765901
76,1.6786081005608844,1.9211146885698491
77,1.7166556491246145,2.1069206259467386
78,1.687208929850209,1.5810235836289146
79,1.7114981112460936,1.8208635796200145
80,1.7556306676518532,1.791739943894473
81,1.7080131544461172,1.8260507659478622
82,1.6784370778909614,1.6613087740811434
83,1.6831472962493859,1.7803437807343223
84,1.6689931385579608,1.8456129496747797
85,1.691136653264684,1.7114308655261994
86,1.7342121450891417,1.6779668873006648
87,1.7100286016901654,1.7139666091312062
88,1.67090010210391,1.6338781335137107
89,1.6264196791716161,1.7042347517880527
90,1.5966378353055446,1.5496791481971741
91,1.6191726590116178,1.7898887319998307
92,1.7021266157107968,1.8961583917791194
93,1.6752187579629882,1.6839061108502476
94,1.6189961112554996,1.7616139162670483
95,1.689561594217535,1.6015970696102488
96,1.6477696014147611,1.7887979843399742
97,1.5843728989242547,1.595837107029828
98,1.6168515875695213,1.693723039193587
99,1.584477735863578,1.574434291232716
